"Day","Month","Year","Max.Temp.C"
"22","10",2019,NA
"23","10",2019,NA
"24","10",2019,NA
"25","10",2019,NA
"26","10",2019,NA
"27","10",2019,NA
"28","10",2019,NA
"29","10",2019,NA
"30","10",2019,NA
"31","10",2019,NA
"01","11",2019,NA
"02","11",2019,NA
"03","11",2019,NA
"04","11",2019,NA
"05","11",2019,NA
"06","11",2019,NA
"07","11",2019,NA
"08","11",2019,11
"09","11",2019,NA
"10","11",2019,NA
"11","11",2019,8
"12","11",2019,14
"13","11",2019,13
"14","11",2019,2
"15","11",2019,5
"16","11",2019,5
"17","11",2019,3
"18","11",2019,6
"19","11",2019,NA
"20","11",2019,NA
"21","11",2019,NA
"22","11",2019,NA
"23","11",2019,NA
"24","11",2019,NA
"25","11",2019,NA
"26","11",2019,NA
"27","11",2019,NA
"28","11",2019,NA
"29","11",2019,NA
"30","11",2019,NA
"01","12",2019,NA
"02","12",2019,NA
"03","12",2019,NA
"04","12",2019,NA
"05","12",2019,NA
"06","12",2019,NA
"07","12",2019,NA
"08","12",2019,NA
"09","12",2019,NA
"10","12",2019,NA
"11","12",2019,NA
"12","12",2019,NA
"13","12",2019,NA
"14","12",2019,NA
"15","12",2019,NA
"16","12",2019,NA
"17","12",2019,NA
"18","12",2019,NA
"19","12",2019,NA
"20","12",2019,NA
"21","12",2019,NA
"22","12",2019,NA
"23","12",2019,NA
"24","12",2019,NA
"25","12",2019,NA
"26","12",2019,NA
"27","12",2019,NA
"28","12",2019,NA
"29","12",2019,NA
"30","12",2019,NA
"31","12",2019,NA
